"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P",1,1,0,1,1,1,0,"0.835119696969697","1.1351196969697","266","","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P",1.017124,1.017124,0,1.017124,1.017124,1.017124,0,"0.835119696969697","1.1351196969697","266","","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P",1,1,0,1,1,1,0,"0.835119696969697","1.1351196969697","266","","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P",57959.69,60736.91,0,57959.69,6345.057,6345.057,0,"0.835119696969697","1.1351196969697","266","","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P",452.2784,255.2329,0,452.2784,196.038,196.038,0,"0.835119696969697","1.1351196969697","266","","MSDIAL_LPE 16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","452.27826","255.2323","78.95906","452.2783","196.0376","196.038","214.0482","0.835119696969697","1.1351196969697","266"
"","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P",0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P",0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P",0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P",0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P",0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","MSDIAL_LPE 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RVNBVQKDPQVSOY-UHFFFAOYNA-N;C22H46NO7P","466.29391","269.2479","78.95906","466.2939","196.0376","196.038","214.0482","1.05410666666667","1.35410666666667","3173"
"","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",1,1,0,1,1,1,1,"1.31746212121212","1.61746212121212","197","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",1.459871,1.459871,0,1.459871,1.459871,1.459871,1.459871,"1.31746212121212","1.61746212121212","197","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",1,1,0,1,1,1,1,"1.31746212121212","1.61746212121212","197","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",293542.4,296328.1,0,293542.4,29713.21,29713.21,6929.865,"1.31746212121212","1.61746212121212","197","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",480.3097,283.2643,0,480.3097,196.0381,196.0381,214.0486,"1.31746212121212","1.61746212121212","197","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","480.30956","283.2635","78.95906","480.3096","196.0377","196.038","214.0482","1.31746212121212","1.61746212121212","197"
"","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",1,0,0,1,0,0,0,"0.776827272727273","1.07682727272727","293","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0.9584297,0,0,0.9584297,0,0,0,"0.776827272727273","1.07682727272727","293","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",1,0,0,1,0,0,0,"0.776827272727273","1.07682727272727","293","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",23256.5,0,0,23256.5,0,0,0,"0.776827272727273","1.07682727272727","293","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",480.3097,0,0,480.3097,0,0,0,"0.776827272727273","1.07682727272727","293","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","480.30956","283.2635","78.95906","480.3096","196.0377","196.038","214.0482","0.776827272727273","1.07682727272727","293"
"","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","MSDIAL_LPE 18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","480.30956","283.2635","78.95906","480.3096","196.0377","196.038","214.0482","1.50431666666667","1.80431666666667","3157"
"","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P",1,1,0,1,1,1,1,"0.9013696969697","1.2013696969697","224","","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P",1.027487,1.027487,1.027487,1.027487,1.027487,1.027487,1.027487,"0.9013696969697","1.2013696969697","224","","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P",1,1,1,1,1,1,1,"0.9013696969697","1.2013696969697","224","","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P",160300.6,180873.3,547.4462,160300.6,18798.65,18798.65,4393.782,"0.9013696969697","1.2013696969697","224","","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P",478.2941,281.2487,78.95911,478.2941,196.0381,196.0381,214.0487,"0.9013696969697","1.2013696969697","224","","MSDIAL_LPE 18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","478.29391","281.2479","78.95906","478.2939","196.0376","196.038","214.0482","0.9013696969697","1.2013696969697","224"
"","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",1,1,0,1,1,1,1,"0.621769696969697","0.921769696969697","176","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0.8153807,0.8153807,0,0.8153807,0.8153807,0.8153807,0.8153807,"0.621769696969697","0.921769696969697","176","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",1,1,0,1,1,1,1,"0.621769696969697","0.921769696969697","176","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",93566.54,113207.5,0,93566.54,8873.427,8873.427,3156.256,"0.621769696969697","0.921769696969697","176","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",476.2784,279.2329,0,476.2784,196.0381,196.0381,214.0485,"0.621769696969697","0.921769696969697","176","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","476.27826","279.2323","78.95906","476.2783","196.0376","196.038","214.0482","0.621769696969697","0.921769696969697","176"
"","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P",0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","MSDIAL_LPE 18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","476.27826","279.2323","78.95906","476.2783","196.0376","196.038","214.0482","0.820886111111111","1.12088611111111","2541"
"","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P",0,0,0,0,0,0,0,"0.46314","0.76314","3018","","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P",0,0,0,0,0,0,0,"0.46314","0.76314","3018","","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P",0,0,0,0,0,0,0,"0.46314","0.76314","3018","","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P",0,0,0,0,0,0,0,"0.46314","0.76314","3018","","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P",0,0,0,0,0,0,0,"0.46314","0.76314","3018","","MSDIAL_LPE 18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;NTBBASCGALPTDC-PDBXOOCHNA-N;C23H42NO7P","474.26261","277.2166","78.95906","474.2626","196.0376","196.038","214.0482","0.46314","0.76314","3018"
