"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment","RT at Max Intensity","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment","Number of Scans","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment","Max Intensity","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment","Average m/z","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","﻿ether-LPC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","PC_Head","Choline","RT_min","RT_max","Comment"
"","Plasmanyl-LPC(O-16:0)+H",1,1,0,0,1,1,"0.98893472222222","1.28893472222222","265","","Plasmanyl-LPC(O-16:0)+H",1.140842,1.140842,0,0,1.140842,1.140842,"0.98893472222222","1.28893472222222","265","","Plasmanyl-LPC(O-16:0)+H",1,1,0,0,1,1,"0.98893472222222","1.28893472222222","265","","Plasmanyl-LPC(O-16:0)+H",3147154,6284.033,0,0,259718.7,4443360,"0.98893472222222","1.28893472222222","265","","Plasmanyl-LPC(O-16:0)+H",482.3606,299.2945,0,0,184.0734,104.107,"0.98893472222222","1.28893472222222","265","","Plasmanyl-LPC(O-16:0)+H","482.36053","299.29449","212.141155","153.067655","184.07332","104.1069","0.98893472222222","1.28893472222222","265"
"","Plasmanyl-LPC(O-16:1)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","Plasmanyl-LPC(O-16:1)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","Plasmanyl-LPC(O-16:1)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","Plasmanyl-LPC(O-16:1)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","Plasmanyl-LPC(O-16:1)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","Plasmanyl-LPC(O-16:1)+H","480.34488","297.27884","212.141155","153.067655","184.07332","104.1069","0.67120303030303","0.97120303030303","3850"
"","Plasmanyl-LPC(O-18:0)+H",1,1,0,0,1,1,"1.522525","1.822525","606","","Plasmanyl-LPC(O-18:0)+H",1.680945,1.680945,0,0,1.680945,1.670622,"1.522525","1.822525","606","","Plasmanyl-LPC(O-18:0)+H",2,2,0,0,2,2,"1.522525","1.822525","606","","Plasmanyl-LPC(O-18:0)+H",1102453,2315.431,0,0,303927.9,1738225,"1.522525","1.822525","606","","Plasmanyl-LPC(O-18:0)+H",510.3922,327.3261,0,0,184.07345,104.10705,"1.522525","1.822525","606","","Plasmanyl-LPC(O-18:0)+H","510.39183","327.32579","212.141155","153.067655","184.07332","104.1069","1.522525","1.822525","606"
"","Plasmanyl-LPC(O-18:0)+H",0,0,0,0,0,0,"1.74810972222222","2.04810972222222","10300","","Plasmanyl-LPC(O-18:0)+H",0,0,0,0,0,0,"1.74810972222222","2.04810972222222","10300","","Plasmanyl-LPC(O-18:0)+H",0,0,0,0,0,0,"1.74810972222222","2.04810972222222","10300","","Plasmanyl-LPC(O-18:0)+H",0,0,0,0,0,0,"1.74810972222222","2.04810972222222","10300","","Plasmanyl-LPC(O-18:0)+H",0,0,0,0,0,0,"1.74810972222222","2.04810972222222","10300","","Plasmanyl-LPC(O-18:0)+H","510.39183","327.32579","212.141155","153.067655","184.07332","104.1069","1.74810972222222","2.04810972222222","10300"
"","Plasmanyl-LPC(O-18:1)+H",1,0,0,0,1,1,"1.05115416666667","1.35115416666667","373","","Plasmanyl-LPC(O-18:1)+H",1.192938,0,0,0,1.192938,1.192938,"1.05115416666667","1.35115416666667","373","","Plasmanyl-LPC(O-18:1)+H",1,0,0,0,1,1,"1.05115416666667","1.35115416666667","373","","Plasmanyl-LPC(O-18:1)+H",2143027,0,0,0,201932.8,3380350,"1.05115416666667","1.35115416666667","373","","Plasmanyl-LPC(O-18:1)+H",508.3766,0,0,0,184.0734,104.107,"1.05115416666667","1.35115416666667","373","","Plasmanyl-LPC(O-18:1)+H","508.37618","325.31014","212.141155","153.067655","184.07332","104.1069","1.05115416666667","1.35115416666667","373"
"","Plasmanyl-LPC(O-20:0)+H",1,0,0,0,1,1,"2.26364166666667","2.56364166666667","12779","","Plasmanyl-LPC(O-20:0)+H",2.44726,0,0,0,2.44726,2.44726,"2.26364166666667","2.56364166666667","12779","","Plasmanyl-LPC(O-20:0)+H",1,0,0,0,1,1,"2.26364166666667","2.56364166666667","12779","","Plasmanyl-LPC(O-20:0)+H",71339.69,0,0,0,46028.52,113106.2,"2.26364166666667","2.56364166666667","12779","","Plasmanyl-LPC(O-20:0)+H",538.4238,0,0,0,184.0736,104.1071,"2.26364166666667","2.56364166666667","12779","","Plasmanyl-LPC(O-20:0)+H","538.42313","355.35709","212.141155","153.067655","184.07332","104.1069","2.26364166666667","2.56364166666667","12779"
"","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","Plasmanyl-LPC(O-20:1)+H","536.40748","353.34144","212.141155","153.067655","184.07332","104.1069","1.55964027777778","1.85964027777778","2405"
"","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","Plasmanyl-LPC(O-20:1)+H",0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","Plasmanyl-LPC(O-20:1)+H","536.40748","353.34144","212.141155","153.067655","184.07332","104.1069","2.15532638888889","2.45532638888889","8006"
"","Plasmanyl-LPC(O-22:0)+H",1,0,0,0,1,1,"3.32745138888889","3.62745138888889","17837","","Plasmanyl-LPC(O-22:0)+H",3.478594,0,0,0,3.478594,3.478594,"3.32745138888889","3.62745138888889","17837","","Plasmanyl-LPC(O-22:0)+H",1,0,0,0,1,1,"3.32745138888889","3.62745138888889","17837","","Plasmanyl-LPC(O-22:0)+H",95381.82,0,0,0,5234.048,106213.6,"3.32745138888889","3.62745138888889","17837","","Plasmanyl-LPC(O-22:0)+H",566.4551,0,0,0,184.0736,104.1071,"3.32745138888889","3.62745138888889","17837","","Plasmanyl-LPC(O-22:0)+H","566.45443","383.38839","212.141155","153.067655","184.07332","104.1069","3.32745138888889","3.62745138888889","17837"
"","Plasmanyl-LPC(O-22:1)+H",0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","Plasmanyl-LPC(O-22:1)+H",0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","Plasmanyl-LPC(O-22:1)+H",0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","Plasmanyl-LPC(O-22:1)+H",0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","Plasmanyl-LPC(O-22:1)+H",0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","Plasmanyl-LPC(O-22:1)+H","564.43883","381.37279","212.141155","153.067655","184.07332","104.1069","3.17754305555556","3.47754305555556","7954"
"","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"1.67792083333333","1.97792083333333","3232","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"1.67792083333333","1.97792083333333","3232","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"1.67792083333333","1.97792083333333","3232","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"1.67792083333333","1.97792083333333","3232","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"1.67792083333333","1.97792083333333","3232","","Plasmanyl-LPC(O-22:2)+H","562.42323","379.35719","212.141155","153.067655","184.07332","104.1069","1.67792083333333","1.97792083333333","3232"
"","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"2.16738333333333","2.46738333333333","16852","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"2.16738333333333","2.46738333333333","16852","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"2.16738333333333","2.46738333333333","16852","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"2.16738333333333","2.46738333333333","16852","","Plasmanyl-LPC(O-22:2)+H",0,0,0,0,0,0,"2.16738333333333","2.46738333333333","16852","","Plasmanyl-LPC(O-22:2)+H","562.42323","379.35719","212.141155","153.067655","184.07332","104.1069","2.16738333333333","2.46738333333333","16852"
"","Plasmanyl-LPC(O-24:0)+H",1,0,0,0,1,1,"4.72845972222222","5.02845972222222","1425","","Plasmanyl-LPC(O-24:0)+H",4.900116,0,0,0,4.900116,4.900116,"4.72845972222222","5.02845972222222","1425","","Plasmanyl-LPC(O-24:0)+H",1,0,0,0,1,1,"4.72845972222222","5.02845972222222","1425","","Plasmanyl-LPC(O-24:0)+H",281126.4,0,0,0,11763.6,300373.8,"4.72845972222222","5.02845972222222","1425","","Plasmanyl-LPC(O-24:0)+H",594.487,0,0,0,184.0737,104.1072,"4.72845972222222","5.02845972222222","1425","","Plasmanyl-LPC(O-24:0)+H","594.48573","411.41969","212.141155","153.067655","184.07332","104.1069","4.72845972222222","5.02845972222222","1425"
"","Plasmanyl-LPC(O-24:1)+H",1,0,0,0,1,1,"3.306975","3.606975","1848","","Plasmanyl-LPC(O-24:1)+H",3.445353,0,0,0,3.445353,3.445353,"3.306975","3.606975","1848","","Plasmanyl-LPC(O-24:1)+H",1,0,0,0,1,1,"3.306975","3.606975","1848","","Plasmanyl-LPC(O-24:1)+H",159367.5,0,0,0,10238.06,179321.6,"3.306975","3.606975","1848","","Plasmanyl-LPC(O-24:1)+H",592.4707,0,0,0,184.0735,104.1071,"3.306975","3.606975","1848","","Plasmanyl-LPC(O-24:1)+H","592.47013","409.40409","212.141155","153.067655","184.07332","104.1069","3.306975","3.606975","1848"
"","Plasmanyl-LPC(O-24:1)+H",0,0,0,0,0,0,"4.531675","4.831675","8944","","Plasmanyl-LPC(O-24:1)+H",0,0,0,0,0,0,"4.531675","4.831675","8944","","Plasmanyl-LPC(O-24:1)+H",0,0,0,0,0,0,"4.531675","4.831675","8944","","Plasmanyl-LPC(O-24:1)+H",0,0,0,0,0,0,"4.531675","4.831675","8944","","Plasmanyl-LPC(O-24:1)+H",0,0,0,0,0,0,"4.531675","4.831675","8944","","Plasmanyl-LPC(O-24:1)+H","592.47013","409.40409","212.141155","153.067655","184.07332","104.1069","4.531675","4.831675","8944"
"","Plasmanyl-LPC(O-24:2)+H",0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","Plasmanyl-LPC(O-24:2)+H",0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","Plasmanyl-LPC(O-24:2)+H",0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","Plasmanyl-LPC(O-24:2)+H",0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","Plasmanyl-LPC(O-24:2)+H",0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","Plasmanyl-LPC(O-24:2)+H","590.45453","407.38849","212.141155","153.067655","184.07332","104.1069","3.16513611111111","3.46513611111111","5902"
